id,wage,log_wage,education,experience,exp_squared,age,female,public_sector,city_size,contract_type,num_children,unionized,hours
37,4407,8.3909,17,35,1225,63,0,0,large,permanent,0,0,48
38,1886,7.5422,17,13,169,38,1,0,large,permanent,1,0,27
39,937,6.8427,14,9,81,33,1,0,large,permanent,3,0,31
40,750,6.6201,12,2,4,24,1,1,rural,permanent,2,1,48
41,2122,7.6601,14,3,9,26,0,1,rural,permanent,1,0,35
42,2177,7.6857,10,28,784,48,0,0,large,fixed_term,1,0,44
43,2665,7.888,15,23,529,48,1,1,large,fixed_term,1,1,44
44,3351,8.117,18,34,1156,62,0,0,large,permanent,3,0,40
45,2918,7.9787,19,12,144,42,0,0,large,permanent,1,0,37
46,1257,7.1365,12,3,9,25,1,1,large,fixed_term,1,0,35
47,2173,7.6839,14,8,64,32,0,0,large,permanent,1,1,31
48,3153,8.0561,19,26,676,54,1,0,large,permanent,2,0,28
49,1751,7.4679,12,11,121,32,0,0,small,permanent,0,0,47
50,2086,7.643,18,10,100,38,1,1,small,fixed_term,1,0,43
51,736,6.6012,8,7,49,24,0,0,rural,permanent,2,0,42
52,2297,7.7394,15,22,484,46,1,0,small,permanent,1,0,40
53,3759,8.2319,15,26,676,51,0,0,large,permanent,0,0,39
54,3194,8.069,19,18,324,46,0,0,large,permanent,3,1,35
55,1121,7.022,12,5,25,27,0,0,small,permanent,1,0,38
56,1223,7.1091,10,7,49,30,1,0,large,permanent,1,0,39
57,2777,7.9291,19,30,900,58,1,0,small,permanent,3,0,41
58,2753,7.9204,18,21,441,47,1,0,small,permanent,1,0,35
59,1270,7.1468,11,14,196,34,1,0,large,fixed_term,2,0,32
60,3546,8.1736,22,5,25,38,0,1,large,permanent,3,1,36
61,2561,7.8482,13,20,400,44,1,0,large,permanent,1,0,33
62,2367,7.7694,13,34,1156,57,1,0,small,permanent,1,0,41
63,2362,7.7673,18,10,100,37,1,0,large,permanent,0,0,43
64,1949,7.5751,18,14,196,43,1,0,rural,fixed_term,1,0,32
65,2648,7.8816,16,18,324,44,0,0,large,permanent,1,0,42
66,718,6.5765,10,5,25,26,1,0,small,permanent,2,0,34
67,4249,8.3544,15,30,900,53,1,0,large,permanent,0,0,39
68,3387,8.1277,16,29,841,55,0,0,large,permanent,3,0,42
69,1526,7.3304,18,0,0,28,0,1,large,permanent,1,0,32
70,1922,7.5611,13,23,529,44,0,1,rural,fixed_term,1,1,35
71,748,6.6174,14,0,0,25,1,0,small,fixed_term,0,0,40
72,2456,7.8063,18,21,441,48,1,0,large,self_employed,0,0,36
73,1273,7.1491,13,30,900,53,1,0,small,permanent,4,0,35
74,2642,7.8793,16,22,484,48,0,0,rural,permanent,3,0,43
75,2406,7.7857,14,15,225,39,0,1,small,permanent,1,0,33
76,3843,8.254,16,32,1024,58,0,0,large,permanent,0,1,33
77,1920,7.5601,12,16,256,36,0,1,large,permanent,1,0,37
78,1293,7.1647,15,5,25,31,1,0,rural,permanent,2,0,26
79,2126,7.662,18,18,324,47,1,0,large,fixed_term,2,0,39
80,1572,7.3601,16,11,121,37,1,1,small,permanent,0,0,37
81,1652,7.4097,14,14,196,37,1,0,large,permanent,2,0,29
82,1675,7.4236,13,45,2025,65,0,0,rural,permanent,0,0,43
83,1880,7.539,17,17,289,45,1,0,rural,permanent,2,0,42
84,1402,7.2457,11,0,0,20,0,1,large,permanent,3,0,34
85,2920,7.9793,15,20,400,47,0,0,large,permanent,1,0,28
86,1755,7.4702,14,6,36,29,0,0,large,permanent,0,0,35
87,1813,7.5027,10,39,1521,59,0,0,large,permanent,3,0,36
88,839,6.7322,13,1,1,25,1,0,large,permanent,1,0,45
89,2095,7.6473,16,22,484,49,0,0,large,permanent,1,0,37
90,2905,7.9742,13,25,625,48,0,0,small,permanent,0,1,41
91,1781,7.4849,13,23,529,44,1,0,large,permanent,0,0,35
92,2513,7.8292,15,19,361,43,1,0,small,permanent,1,0,37
93,3204,8.0722,18,2,4,31,0,0,large,permanent,2,1,36
94,1750,7.4674,13,20,400,44,1,0,rural,permanent,1,0,43
95,2226,7.708,11,19,361,40,0,0,small,self_employed,3,0,42
96,3110,8.0424,16,35,1225,61,0,1,small,fixed_term,1,0,39
97,2742,7.9164,18,31,961,56,1,0,large,permanent,2,0,39
98,1611,7.3846,15,22,484,48,1,0,large,permanent,1,0,45
99,3217,8.0762,16,29,841,54,0,0,large,self_employed,1,0,44
100,1018,6.9256,11,2,4,24,1,1,large,permanent,2,0,37
101,2015,7.6084,15,13,169,38,0,0,large,permanent,1,0,40
102,2470,7.812,18,32,1024,60,1,1,rural,fixed_term,1,0,38
103,3982,8.2895,18,33,1089,60,1,1,large,permanent,0,0,31
104,3935,8.2777,20,28,784,58,1,0,large,permanent,0,0,40
105,2249,7.7182,17,13,169,39,0,1,rural,permanent,0,0,45
106,2417,7.7903,12,17,289,39,1,1,rural,permanent,0,0,37
107,2185,7.6894,15,13,169,38,0,1,small,fixed_term,2,0,42
108,1334,7.1959,14,0,0,24,0,1,rural,self_employed,0,0,45
109,2059,7.63,15,20,400,45,1,0,small,permanent,0,1,37
110,2324,7.751,11,20,400,41,0,0,rural,self_employed,0,0,35
111,1985,7.5934,14,21,441,45,1,0,rural,permanent,0,0,34
112,2055,7.628,17,15,225,40,1,1,small,permanent,2,0,40
113,2070,7.6353,19,13,169,43,1,0,large,fixed_term,1,0,43
114,1257,7.1365,11,10,100,31,1,1,small,permanent,3,1,38
115,2774,7.928,19,11,121,41,0,0,large,permanent,2,0,38
116,2000,7.6009,17,11,121,37,0,1,small,permanent,4,0,35
117,1368,7.2211,13,6,36,28,0,0,large,permanent,0,0,46
118,1569,7.3582,13,27,729,52,1,0,large,permanent,1,0,35
119,2400,7.7832,13,32,1024,55,1,1,small,permanent,2,1,41
120,1745,7.4645,11,28,784,51,1,0,rural,permanent,1,0,38
121,2581,7.8559,18,18,324,44,1,0,small,self_employed,2,0,48
122,1422,7.2598,18,4,16,33,1,0,large,permanent,2,1,39
123,1894,7.5464,16,13,169,39,1,1,large,permanent,0,0,34
124,1955,7.5781,18,17,289,45,1,1,small,fixed_term,3,0,42
125,2856,7.9572,15,14,196,39,0,0,large,permanent,0,1,42
126,1423,7.2605,13,16,256,39,0,0,small,permanent,0,0,35
127,1253,7.1333,12,13,169,34,1,0,large,permanent,1,0,42
128,2338,7.7571,20,22,484,52,1,0,rural,self_employed,1,0,42
129,1917,7.5585,13,25,625,49,0,0,small,permanent,2,0,35
130,1918,7.559,14,12,144,35,0,1,large,fixed_term,5,0,42
131,1388,7.2356,13,38,1444,61,1,0,small,permanent,1,0,42
132,3590,8.1859,20,28,784,58,1,0,small,permanent,1,0,29
133,2187,7.6903,12,24,576,46,1,1,small,permanent,0,1,34
134,2056,7.6285,11,25,625,45,0,0,rural,self_employed,1,0,34
135,1091,6.9948,14,8,64,31,0,0,rural,permanent,0,0,41
136,2135,7.6662,19,23,529,51,1,1,small,self_employed,2,0,45
137,3150,8.0552,18,16,256,44,0,1,large,permanent,1,0,36
138,1679,7.426,12,15,225,37,0,0,large,fixed_term,2,0,34
139,1823,7.5082,15,23,529,48,1,0,rural,fixed_term,4,0,36
140,1633,7.3982,11,18,324,40,1,0,large,permanent,2,0,43
141,3792,8.2406,19,34,1156,62,0,0,small,fixed_term,0,0,46
142,2216,7.7035,13,34,1156,57,0,1,large,permanent,0,0,41
143,3362,8.1203,16,33,1089,58,0,0,rural,permanent,1,0,31
144,1577,7.3633,14,14,196,39,0,0,large,permanent,1,0,44
145,1568,7.3576,15,31,961,56,1,0,small,self_employed,1,0,45
146,3728,8.2236,19,19,361,47,0,0,large,fixed_term,0,1,36
147,1620,7.3902,12,26,676,47,1,1,large,permanent,2,0,36
148,2194,7.6935,13,14,196,37,1,1,rural,permanent,1,0,40
149,2239,7.7138,16,36,1296,62,1,1,small,permanent,3,0,38
150,2769,7.9262,14,28,784,54,0,1,large,permanent,0,0,32
151,1792,7.4911,12,13,169,35,0,0,rural,self_employed,2,1,37
152,4588,8.4312,18,31,961,60,0,0,small,permanent,2,0,46
153,1573,7.3607,14,13,169,39,0,0,large,fixed_term,1,0,40
154,1848,7.5219,15,13,169,37,1,0,large,permanent,1,1,37
155,2031,7.6163,11,26,676,48,0,0,rural,permanent,0,1,35
156,2124,7.6611,8,8,64,27,0,1,large,permanent,1,0,40
157,1976,7.5888,14,12,144,37,0,0,large,permanent,0,0,43
158,1997,7.5994,11,18,324,39,0,1,large,permanent,0,0,36
159,2722,7.9091,15,18,324,42,0,0,large,fixed_term,0,0,35
160,2072,7.6363,14,36,1296,61,0,1,small,permanent,0,0,38
161,1265,7.1428,14,18,324,42,1,0,large,permanent,0,1,36
162,2349,7.7617,17,30,900,59,1,0,small,permanent,1,0,32
163,1030,6.9373,8,8,64,27,0,0,small,permanent,2,0,37
164,2206,7.6989,15,15,225,39,0,0,large,permanent,1,0,41
165,3697,8.2153,16,30,900,57,0,0,small,self_employed,2,0,41
166,1214,7.1017,16,4,16,30,0,0,small,permanent,1,1,36
167,2543,7.8411,15,23,529,47,0,1,small,fixed_term,1,0,36
168,2123,7.6606,22,11,121,43,1,1,large,fixed_term,4,0,39
169,1505,7.3165,15,5,25,29,0,0,small,self_employed,1,0,33
170,1232,7.1164,14,3,9,26,1,1,small,self_employed,3,0,43
171,2635,7.8766,13,20,400,44,0,0,large,permanent,1,0,34
172,538,6.2879,11,1,1,21,1,0,large,fixed_term,3,0,44
173,1740,7.4616,17,14,196,41,1,0,small,permanent,1,0,39
174,2133,7.6653,18,32,1024,60,1,0,small,self_employed,2,0,32
175,2253,7.72,14,28,784,51,1,0,rural,permanent,1,1,34
176,5049,8.5269,20,21,441,50,0,0,large,permanent,2,0,40
177,1830,7.5121,16,16,256,43,1,0,small,fixed_term,0,0,42
178,2506,7.8264,16,17,289,43,1,1,large,self_employed,2,0,31
179,3471,8.1522,15,28,784,52,0,1,large,permanent,1,0,37
180,1716,7.4478,18,9,81,38,0,0,large,permanent,1,0,36
181,3567,8.1795,18,39,1521,65,1,1,large,permanent,1,0,36
182,2700,7.901,19,22,484,51,0,0,rural,permanent,0,0,31
183,1301,7.1709,9,13,169,33,0,0,rural,permanent,1,0,34
184,2316,7.7476,17,9,81,34,1,0,large,fixed_term,2,0,34
185,3855,8.2571,22,27,729,59,0,0,large,permanent,0,0,40
186,2337,7.7566,11,19,361,39,0,0,large,permanent,3,0,43
187,939,6.8448,11,13,169,33,1,0,rural,permanent,0,0,38
188,980,6.8876,10,1,1,21,0,0,small,permanent,2,0,44
189,2894,7.9704,13,35,1225,58,0,1,small,permanent,0,0,45
190,1519,7.3258,17,31,961,59,1,0,rural,permanent,2,0,40
191,5407,8.5954,15,22,484,47,0,1,large,permanent,2,0,39
192,2587,7.8583,17,6,36,34,1,1,large,permanent,1,0,39
193,1912,7.5559,12,24,576,47,0,1,small,permanent,2,0,50
194,2209,7.7003,15,25,625,52,0,0,small,self_employed,3,0,28
195,3854,8.2569,19,14,196,44,0,1,large,permanent,1,0,43
196,2893,7.97,16,24,576,50,0,0,rural,permanent,1,0,32
197,1672,7.4218,13,22,484,46,0,0,large,permanent,1,0,43
198,2731,7.9124,13,26,676,49,0,0,large,permanent,3,0,30
199,2551,7.8442,11,26,676,46,0,0,large,permanent,0,0,42
200,2210,7.7007,18,2,4,32,0,0,large,permanent,1,0,43
201,1752,7.4685,14,11,121,36,1,1,rural,permanent,1,0,42
202,2034,7.6178,17,6,36,33,0,0,small,self_employed,3,0,34
203,1874,7.5358,12,26,676,48,1,0,large,permanent,0,0,43
204,849,6.7441,8,7,49,23,0,0,small,fixed_term,1,0,32
205,3162,8.059,18,10,100,38,1,1,small,permanent,2,0,42
206,2913,7.9769,18,16,256,43,0,1,small,fixed_term,3,0,30
207,2413,7.7886,15,9,81,34,0,0,rural,permanent,1,0,36
208,1608,7.3827,11,12,144,34,0,0,small,fixed_term,0,0,33
209,3030,8.0163,14,35,1225,58,0,0,small,permanent,1,0,40
210,1300,7.1701,14,9,81,32,0,1,small,fixed_term,2,0,47
211,1717,7.4483,14,21,441,45,1,0,rural,permanent,0,0,32
212,1962,7.5817,17,15,225,43,0,0,rural,permanent,0,0,41
213,3542,8.1724,19,35,1225,65,0,0,rural,permanent,0,0,39
214,1771,7.4793,13,33,1089,56,0,0,rural,permanent,1,0,35
215,3232,8.0809,15,29,841,54,1,1,small,permanent,0,0,37
216,2427,7.7944,22,8,64,40,0,0,rural,permanent,1,0,34
217,2435,7.7977,17,14,196,40,0,0,small,permanent,3,1,41
218,2192,7.6926,18,13,169,40,0,0,rural,self_employed,0,0,40
219,2312,7.7459,20,1,1,31,1,1,large,permanent,0,0,31
220,2663,7.8872,14,26,676,50,0,0,small,permanent,3,0,46
221,1700,7.4384,10,20,400,38,0,0,large,self_employed,1,1,32
222,2110,7.6544,17,26,676,52,1,0,large,permanent,1,1,36
223,2277,7.7306,17,23,529,50,1,0,small,fixed_term,3,0,32
224,1603,7.3796,13,13,169,36,0,0,small,permanent,1,0,33
225,1272,7.1483,11,4,16,26,0,0,small,self_employed,2,0,45
226,2099,7.6492,18,13,169,40,0,0,large,permanent,0,0,42
227,1592,7.3727,13,17,289,40,0,1,small,permanent,1,0,40
228,778,6.6567,11,7,49,28,0,0,small,self_employed,0,0,48
229,1307,7.1755,11,7,49,28,0,0,large,permanent,1,0,43
230,2289,7.7359,12,37,1369,59,0,0,small,permanent,1,0,42
231,2234,7.7115,16,33,1089,60,0,0,small,fixed_term,0,0,37
232,2821,7.9448,19,19,361,48,1,0,small,permanent,1,0,33
233,1794,7.4922,9,42,1764,61,1,0,large,permanent,1,0,40
234,1150,7.0475,13,28,784,51,0,0,small,fixed_term,1,0,43
235,3473,8.1528,18,15,225,44,0,1,small,self_employed,2,0,35
236,2171,7.6829,14,16,256,38,1,1,small,permanent,1,0,35
237,3017,8.012,16,19,361,47,0,0,rural,permanent,3,0,40
238,3432,8.1409,14,17,289,42,0,0,large,permanent,2,1,37
239,2017,7.6094,13,37,1369,62,1,0,small,permanent,2,1,34
240,2263,7.7244,16,15,225,41,0,0,large,permanent,3,0,40
241,2601,7.8637,15,19,361,43,0,0,large,permanent,0,0,45
242,1893,7.5459,14,8,64,31,0,0,small,permanent,0,0,42
243,2094,7.6468,14,24,576,49,0,1,rural,self_employed,0,0,47
244,1527,7.3311,14,20,400,44,1,0,small,fixed_term,0,0,41
245,2370,7.7706,15,28,784,52,0,0,large,self_employed,1,0,41
246,1406,7.2485,15,1,1,27,0,0,small,permanent,1,0,32
247,2168,7.6816,20,7,49,37,0,0,large,self_employed,3,1,34
248,2216,7.7035,17,14,196,41,0,0,large,fixed_term,2,1,43
249,2424,7.7932,18,4,16,31,0,1,rural,permanent,0,0,33
250,1379,7.2291,12,0,0,25,1,0,large,permanent,0,0,34
251,955,6.8617,9,6,36,25,0,1,rural,permanent,1,0,48
252,1466,7.2903,10,29,841,50,1,0,small,self_employed,3,0,36
253,1948,7.5746,18,18,324,45,1,0,small,permanent,0,0,38
254,2953,7.9906,13,35,1225,58,0,0,large,permanent,1,1,33
255,2205,7.6985,14,5,25,28,1,0,large,fixed_term,0,0,41
256,1722,7.4512,14,26,676,50,1,0,rural,self_employed,1,0,35
257,2400,7.7832,11,19,361,39,0,0,small,permanent,1,0,43
258,2320,7.7493,16,14,196,40,0,1,large,fixed_term,0,0,42
259,2230,7.7098,13,3,9,24,0,0,large,permanent,3,1,35
260,2134,7.6658,16,13,169,39,1,0,rural,permanent,3,0,36
261,2195,7.6939,12,21,441,43,0,0,rural,permanent,2,0,34
262,4810,8.4785,19,23,529,52,0,0,small,permanent,3,1,38
263,1347,7.2056,12,32,1024,55,1,0,rural,fixed_term,1,0,35
264,1945,7.573,13,9,81,32,0,0,small,fixed_term,0,0,36
265,2528,7.8352,14,24,576,47,0,1,small,permanent,1,0,37
266,2635,7.8766,12,25,625,47,0,0,large,permanent,0,0,40
267,2542,7.8407,16,20,400,45,1,0,small,permanent,0,0,35
268,1244,7.1261,14,10,100,35,1,0,large,fixed_term,0,0,34
269,3231,8.0805,19,22,484,51,1,0,large,permanent,1,1,41
270,2065,7.6329,13,20,400,42,1,0,large,permanent,1,0,32
271,2273,7.7289,13,10,100,32,0,0,small,permanent,2,0,36
272,1328,7.1914,13,6,36,31,1,0,large,permanent,3,0,39
273,1641,7.4031,16,22,484,48,1,0,large,permanent,1,0,36
274,1446,7.2766,11,15,225,36,1,0,large,fixed_term,0,0,45
275,1381,7.2306,11,28,784,49,1,0,large,permanent,0,0,40
276,2417,7.7903,13,15,225,37,0,1,small,self_employed,0,0,40
277,1846,7.5208,13,9,81,33,0,0,large,permanent,0,0,36
278,956,6.8628,9,11,121,29,1,1,rural,fixed_term,0,0,39
279,2610,7.8671,11,31,961,53,0,0,rural,permanent,0,0,43
280,1410,7.2513,16,10,100,37,0,0,small,self_employed,0,0,43
281,1043,6.9499,12,0,0,21,1,0,small,permanent,1,0,38
282,2123,7.6606,13,12,144,33,0,0,small,permanent,1,0,40
283,1914,7.557,11,18,324,39,1,0,rural,permanent,1,1,41
284,1691,7.4331,12,22,484,45,0,0,large,permanent,1,0,38
285,2589,7.859,15,24,576,49,0,0,rural,permanent,1,0,43
286,1302,7.1717,11,10,100,29,1,1,small,permanent,1,1,33
287,2176,7.6852,17,19,361,45,1,0,small,permanent,2,1,46
288,1270,7.1468,11,30,900,51,1,1,large,permanent,1,0,31
289,2591,7.8598,16,23,529,51,0,0,large,permanent,0,0,32
290,2314,7.7467,16,5,25,31,0,0,small,permanent,1,0,38
291,1503,7.3152,14,0,0,23,0,1,rural,permanent,4,0,37
292,1685,7.4295,13,11,121,32,1,0,small,permanent,0,0,43
293,1614,7.3865,14,8,64,30,0,0,small,fixed_term,1,0,39
294,1524,7.3291,10,30,900,50,0,1,small,fixed_term,1,0,40
295,2896,7.9711,15,26,676,51,1,1,small,permanent,3,0,25
296,3151,8.0555,18,16,256,42,0,0,rural,permanent,1,0,40
297,756,6.628,9,0,0,20,1,0,large,self_employed,3,0,43
298,1672,7.4218,17,11,121,38,1,1,large,fixed_term,1,0,40
299,1689,7.4319,20,16,256,47,1,0,rural,permanent,3,0,35
300,1760,7.4731,17,20,400,47,0,1,rural,permanent,0,1,38
301,1546,7.3434,11,31,961,52,0,1,small,permanent,1,0,40
302,1372,7.224,11,12,144,32,0,0,small,permanent,0,0,35
303,1735,7.4588,12,15,225,38,1,0,large,permanent,1,0,38
304,2935,7.9845,14,13,169,36,0,0,small,permanent,3,0,33
305,3699,8.2158,18,31,961,58,1,1,small,permanent,2,0,35
306,1930,7.5653,14,20,400,43,0,0,rural,self_employed,2,0,38
307,1184,7.0767,10,16,256,38,1,0,small,permanent,0,0,45
308,4415,8.3928,17,10,100,37,0,1,small,permanent,0,0,41
309,1472,7.2944,14,13,169,36,0,0,small,permanent,2,1,38
310,1759,7.4725,10,28,784,47,0,0,small,fixed_term,2,0,36
311,3226,8.079,15,29,841,54,0,0,large,permanent,2,0,37
312,2507,7.8268,15,22,484,47,0,0,rural,permanent,1,0,42
313,2454,7.8055,14,26,676,49,0,0,large,permanent,2,1,32
314,1202,7.0917,13,0,0,22,0,1,rural,permanent,1,0,30
315,3399,8.1312,13,25,625,48,0,1,large,self_employed,1,1,28
316,2110,7.6544,12,18,324,40,1,1,rural,self_employed,2,0,37
317,1210,7.0984,14,9,81,32,1,0,rural,fixed_term,1,1,41
318,2976,7.9983,18,14,196,42,0,0,small,self_employed,2,0,42
319,1670,7.4206,10,28,784,46,0,0,large,permanent,0,0,41
320,2441,7.8002,17,20,400,47,1,1,small,self_employed,1,0,36
321,1647,7.4067,11,21,441,42,0,0,large,fixed_term,0,1,52
322,2311,7.7454,14,30,900,54,1,0,rural,fixed_term,2,0,45
323,1680,7.4265,10,13,169,34,0,0,rural,permanent,0,1,34
324,3075,8.0311,18,13,169,41,0,0,large,permanent,2,0,41
325,2114,7.6563,17,6,36,34,0,0,large,permanent,0,0,40
326,2321,7.7498,19,0,0,27,0,0,small,permanent,2,0,45
327,1661,7.4152,12,34,1156,55,0,0,rural,permanent,1,0,40
328,1191,7.0825,8,19,361,38,0,0,large,permanent,0,0,34
329,2672,7.8906,13,20,400,43,0,1,rural,permanent,1,0,33
330,1971,7.5863,17,21,441,48,1,0,large,self_employed,3,1,22
331,3505,8.1619,19,18,324,46,0,0,rural,fixed_term,0,1,42
332,1583,7.3671,12,25,625,47,0,0,rural,permanent,2,0,30
333,2531,7.8364,16,24,576,51,1,0,large,self_employed,0,0,42
334,1101,7.004,10,18,324,38,1,1,rural,permanent,0,1,37
335,1605,7.3809,11,19,361,39,1,0,rural,self_employed,0,0,34
336,1089,6.993,11,17,289,37,1,0,rural,fixed_term,0,0,30
337,1923,7.5616,14,14,196,38,0,0,large,permanent,3,0,38
338,2550,7.8438,11,14,196,36,0,0,small,permanent,1,0,32
339,1818,7.5055,14,11,121,35,1,0,rural,fixed_term,1,0,43
340,1890,7.5443,15,15,225,42,0,0,large,permanent,0,0,42
341,2697,7.8999,18,35,1225,63,1,0,large,self_employed,2,0,39
342,1250,7.1309,8,21,441,40,1,0,large,permanent,1,0,35
343,2180,7.6871,15,15,225,40,0,1,large,fixed_term,4,0,42
344,1514,7.3225,10,27,729,48,1,0,small,permanent,1,0,44
345,2104,7.6516,11,24,576,45,0,0,small,self_employed,1,0,38
346,2644,7.88,15,19,361,44,0,0,large,fixed_term,0,0,33
347,2012,7.6069,12,20,400,43,0,0,large,fixed_term,2,0,33
348,1678,7.4254,12,39,1521,60,0,0,small,permanent,1,0,37
349,2259,7.7227,12,44,1936,65,0,1,large,permanent,2,1,41
350,1969,7.5853,14,20,400,43,1,0,small,permanent,0,0,40
351,1154,7.051,11,17,289,38,0,0,small,permanent,3,0,40
352,3640,8.1997,17,25,625,53,0,0,rural,permanent,2,0,44
353,1434,7.2682,10,9,81,29,1,1,small,fixed_term,2,0,40
354,2615,7.869,16,21,441,47,1,1,large,permanent,4,0,39
355,1416,7.2556,12,33,1089,56,0,0,small,fixed_term,0,0,40
356,2325,7.7515,14,35,1225,60,0,0,large,self_employed,2,0,42
357,1434,7.2682,15,15,225,38,1,0,large,fixed_term,1,0,31
358,3387,8.1277,19,30,900,58,1,0,large,self_employed,2,0,43
359,1531,7.3337,13,19,361,42,1,1,small,fixed_term,2,1,30
360,1691,7.4331,12,17,289,38,0,0,large,self_employed,3,0,43
361,771,6.6477,15,0,0,22,0,0,rural,permanent,1,0,39
362,2959,7.9926,22,15,225,46,1,0,rural,self_employed,2,0,40
363,2420,7.7915,19,21,441,50,1,0,rural,permanent,3,0,42
364,1258,7.1373,10,13,169,34,0,0,rural,permanent,1,0,31
365,1693,7.4343,14,18,324,42,1,0,rural,permanent,1,0,41
366,3019,8.0127,13,33,1089,54,0,0,large,self_employed,1,0,32
367,2768,7.9259,18,36,1296,64,1,1,large,permanent,2,0,31
368,1174,7.0682,12,9,81,31,1,0,small,permanent,0,0,36
369,2407,7.7861,22,10,100,40,1,0,rural,fixed_term,1,0,33
370,1381,7.2306,13,9,81,32,1,0,large,permanent,0,0,40
371,1418,7.257,14,15,225,39,0,0,rural,fixed_term,1,0,41
372,2400,7.7832,14,9,81,32,0,1,small,permanent,1,1,40
373,410,6.0162,8,1,1,20,1,0,small,permanent,1,1,30
374,1095,6.9985,13,0,0,24,0,0,small,permanent,1,0,31
375,1350,7.2079,16,7,49,34,1,1,small,permanent,1,0,41
376,2214,7.7026,17,25,625,51,0,0,small,fixed_term,0,1,31
377,1982,7.5919,12,29,841,52,1,1,large,fixed_term,1,0,37
378,2423,7.7928,15,41,1681,65,1,0,large,fixed_term,3,0,44
379,1906,7.5528,16,19,361,46,1,0,large,self_employed,1,0,41
380,2262,7.724,14,17,289,41,1,0,rural,permanent,2,0,32
381,1360,7.2152,10,23,529,43,0,1,rural,permanent,1,0,42
382,1670,7.4206,16,5,25,30,0,0,large,permanent,0,0,43
383,2458,7.8071,13,23,529,47,1,0,large,self_employed,2,0,40
384,3169,8.0612,14,28,784,51,0,0,small,permanent,4,0,44
385,1894,7.5464,15,18,324,43,1,1,rural,permanent,1,0,36
386,1625,7.3933,14,17,289,42,0,0,rural,permanent,2,0,37
387,1775,7.4816,16,26,676,54,1,0,small,permanent,1,0,39
388,4439,8.3982,21,19,361,51,0,0,large,fixed_term,1,0,34
389,1492,7.3079,13,14,196,38,1,0,large,self_employed,3,0,36
390,2288,7.7354,11,24,576,46,0,0,large,fixed_term,0,1,42
391,1489,7.3059,12,28,784,51,1,1,small,self_employed,0,0,44
392,1900,7.5496,15,17,289,42,1,0,large,permanent,2,0,38
393,1983,7.5924,14,16,256,40,0,0,large,permanent,0,0,31
394,1999,7.6004,20,12,144,41,1,0,large,fixed_term,1,0,47
395,1675,7.4236,14,14,196,38,0,0,small,permanent,2,0,39
396,1875,7.5364,11,23,529,46,1,1,rural,permanent,2,0,38
397,1372,7.224,12,4,16,27,0,0,small,permanent,2,0,43
398,5510,8.6143,20,17,289,46,0,1,large,permanent,0,0,32
399,1555,7.3492,14,10,100,34,1,0,rural,self_employed,3,0,50
400,2327,7.7523,16,19,361,45,1,0,large,permanent,1,0,33
